Name,City,District,Street,Postal Address,Phone,Votes,Rating Stars,Kind,Site
Biz Plus Club,Bakı,Nəsimi rayonu,Alı Mustafayev küçəsi,1K AZ1000,(+99455) 660-55-55,No Rating,4,Yeməyin çatdırılması,http://www.facebook.com/bizplus/timeline?ref=page_internal
Bizim Şəhər Restoranı,Bakı,Səbail rayonu,Mehdi Hüseyn küçəsi,59 AZ1000,(+99412) 492-63-80,No Rating,4,Azərbaycan mətbəxi,No Site
Boğaziçi  Restoranı,Bakı,Səbail rayonu,Üzeyir Hacıbəyov küçəsi,44/48 AZ1000,(+99412) 598-33-98,*** 1 səs,5,Türk mətbəxi,No Site
Broadway,Bakı,Səbail rayonu,Bünyat Sərdarov küçəsi,18 AZ1000,(+99450) 614-16-66,*** 1 səs,5,Kinoteatrlar,http://www.facebook.com/Broadway.Az/timeline?ref=page_internal
Brooklyn cafe & Lounge,Bakı,Bayıl qəsəbəsi,Qurban Abbasov küçəsi,Səbail rayonu,(+99455) 740-20-88,*** 1 səs,5,Kafelər,http://www.facebook.com/BrooklynCafeBaku
Bulud Restaurant & Lounge,Bakı,Nərimanov rayonu,Heydər Əliyev prospekti,1 AZ1000,(+99412) 566-07-47,*** 2 səs,5,Restoranlar,http://www.facebook.com/BuludLounge
Burc Qala Restaurant,Bakı,Səbail rayonu,Kiçik Qala küçəsi,15 AZ1000,(+99412) 497-00-90,*** 2 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/burcrestoran
Buta Art Club,Bakı,Nəsimi rayonu,Dilarə Əliyeva küçəsi,216 AZ1000,(+99412) 598-03-12,No Rating,,Restoranlar,http://www.facebook.com/Club.BUTA/timeline
Buta Palace,Bakı,Suraxanı rayonu,Heydər Əliyev prospekti,Aeoroport yolu,(+99412) 598-17-67,*** 2 səs,5,Restoranlar,http://www.butapalace.az
Butter&Brot,Bakı,Səbail rayonu,İstiqlaliyyət küçəsi AZ1000,No Postal Address,(+99451) 303-55-92,*** 5 səs,5,Fast-fud,http://www.facebook.com/pages/ButterBrot/854558441287232
Cafe Brulee,Bakı,Səbail rayonu,Üzeyir Hacıbəyov küçəsi,38/3 AZ1000,(+99412) 598-88-66,No Rating,4,Kafelər,No Site
Cafe Park,Bakı,Yasamal rayonu,Şərifzadə küçəsi,712 AZ1012,(+99455) 266-09-07,No Rating,4,Kafelər,http://www.cafepark.az
Cafe Park Yasamal parkı,Bakı,Yasamal rayonu,Mətbuat prospekti AZ1000,No Postal Address,(+99455) 266-09-07,No Rating,4,Kafelər,http://www.cafepark.az
Cafe Plaza,Bakı,Səbail rayonu,Nizami küçəsi,69 AZ1005,(+99450) 335-91-11,No Rating,4,Kafelər,http://www.facebook.com/cafeplazabaku/timeline
Çanaq Qala restoranı,Bakı,Nərimanov rayonu,Təbriz küçəsi,35 AZ1000,(+99412) 496-25-85,No Rating,4,Azərbaycan mətbəxi,http://www.chanaqqala.az
CarClub,Bakı,Nərimanov rayonu,Atatürk prospekti,213-219 AZ1000,(+99412) 562-92-62,*** 1 səs,5,Restoranlar,http://www.facebook.com/pages/Car-Club/1518405335076304
Caspi Marine restoranı,Bakı,Mərdəkan qəsəbəsi,Xəzər rayonu,Hacı Zeynalabdin Tağıyev küçəsi,(+99412) 554-00-64,*** 3 səs,5,Restoranlar,http://www.facebook.com/CaspiMA
Caspian Grill & Terrace,Bakı,Nəsimi rayonu,Nizami küçəsi,90A AZ1010,(+99412) 465-20-00,*** 2 səs,5,Restoranlar,http://www.thelandmarkhotel.az
Casual Brasserie,Bakı,Səbail rayonu,Nizami küçəsi,46 AZ1000,(+99412) 498-81-20,*** 2 səs,5,Kafelər,http://www.casualbrasserie.com
Caviar restoranı,Bakı,Yasamal rayonu,Tbilisi prospekti,20 AZ1000,(+99412) 490-70-90,*** 2 səs,5,Azərbaycan mətbəxi,http://www.grand-europe.com
Cerves Restaurant & Lounge,Bakı,Yasamal rayonu,Şeyx Məhəmməd Xiyabani küçəsi,8D AZ1017,(+99412) 434-28-19,*** 1 səs,5,Restoranlar,http://www.facebook.com/CERVESLounge
Cesa Çiğ köfte,Bakı,Nərimanov rayonu,Fətəli xan Xoyski küçəsi,128 AZ1000,(+99412) 564-66-56,*** 2 səs,5,Türk mətbəxi,http://www.facebook.com/CesaCigKofteBaku/timeline
Chateau Le R restoranı,Bakı,Səbail rayonu,Lermontov küçəsi,123/6 AZ1000,(+99412) 437-21-80,*** 1 səs,5,Restoranlar,No Site
Chili's Restoranı,Bakı,Nərimanov rayonu,Natiq Şahbazov küçəsi,36 AZ1000,(+99412) 440-81-55,No Rating,2,Restoranlar,No Site
Chinar Bar Lounge & Dining,Bakı,Səbail rayonu,Şövkət Ələkbərova küçəsi,1 AZ1095,(+99412) 404-82-11,*** 3 səs,5,Asiya mətbəxi,http://www.chinar-dining.com
Churrasco Steak House,Bakı,Səbail rayonu,Üzeyir Hacıbəyov küçəsi,14 AZ1000,(+99412) 598-54-09,No Rating,4,Restoranlar,http://www.steakhouse.az
Cıdır Düzü restoranı,Bakı,7-ci mikrorayon,Əhməd Rəcəbli küçəsi,141 AZ1000,(+99412) 561-78-70,*** 3 səs,5,Şadlıq evləri,No Site
Cıdır Restoranı,Bakı,Nərimanov rayonu,Nəcəf Nərimanov küçəsi,909 AZ1000,(+99412) 563-33-33,*** 3 səs,5,Azərbaycan mətbəxi,http://www.cidir.net
Cilantro,Bakı,Azadlıq prospekti,Səbail rayonu,18 AZ1000,(+994 12) 464-50-00,*** 3 səs,5,Şərq mətbəxi,http://www3.hilton.com
City Club Restoran,Bakı,Nəsimi rayonu,Akademik Mir-Qasımov küçəsi,28 AZ1000,(+99412) 441-63-93,*** 1 səs,5,Restoranlar,No Site
City View Restoran,Bakı,Səbail rayonu,Asəf Zeynallı küçəsi,39 AZ1000,(+99412) 497-08-09,No Rating,1,Restoranlar,http://www.facebook.com/pages/City-View/1405457689734314
Confetti Lounge,Bakı,Nərimanov rayonu,Əhməd Rəcəbli küçəsi,7 AZ1000,(+99455) 210-56-07,No Rating,4,Asiya mətbəxi,http://www.facebook.com/Confettilounge/timeline
Cook Zone,Bakı,Səbail rayonu,Xaqani küçəsi,27A AZ1000,(+99412) 491-98-98,*** 3 səs,5,Restoranlar,http://www.cookzone.az
Cosy Cafe & Lounge,Bakı,Yasamal rayonu,Nəriman Nərimanov prospekti,207 AZ1065,(+99450)  221-12-34,No Rating,4,Kafelər,http://www.facebook.com/pages/Cosy-Cafe-Lounge/1374824002818706?fref=ts
Cotta Cafe,Bakı,Nərimanov rayonu,Xan Şuşinski küçəsi,30A AZ1000,(+99412) 440-10-33,*** 3 səs,5,Kafelər,http://www.facebook.com/Cotta.Cafe
Crystal Plaza Restoran,Bakı,Xətai rayonu,Yusif Səfərov küçəsi,23 A AZ1000,(+99412) 496-49-99,*** 2 səs,5,Restoranlar,http://www.crystal.az
Da Massimo restoranı,Bakı,Səbail rayonu,Nizami küçəsi,67A AZ1000,(+99412) 596-03-04,No Rating,4,Pizza,http:///www.facebook.com/pages/Ristorante-italiano-da-Massimo/611780328906988
Dafne by Dalida restoranı,Bakı,Səbail rayonu,Səməd Vurğun küçəsi,18A AZ1000,(+99412) 493-57-54,No Rating,4,Azərbaycan mətbəxi,http://www.dalida.az
Dalida De Luxe restoranı,Bakı,Səbail rayonu,Nizami küçəsi,340 AZ1000,(+99412) 496-88-61,No Rating,4,Restoranlar,http://www.dalida.az
Dalida restoranı,Bakı,Səbail rayonu,Nizami küçəsi,34 AZ1000,(+99412) 496-88-04,*** 1 səs,5,Restoranlar,http://www.dalida.az
